model,arm,run,turns,output_tokens,cost_usd,png_w,png_h,correct,used_skill
haiku,with,haiku-with-1,8,1413,0.0741,170,882,1,1
haiku,with,haiku-with-2,8,1520,0.0751,170,882,1,1
haiku,with,haiku-with-3,10,1542,0.0799,170,882,1,1
haiku,with,haiku-with-4,10,1911,0.0528,170,882,1,1
haiku,with,haiku-with-5,7,1338,0.0704,170,882,1,1
haiku,without,haiku-without-1,52,13980,0.3319,1920,388,0,0
haiku,without,haiku-without-2,34,7291,0.1701,200,720,1,0
haiku,without,haiku-without-3,59,13571,0.3495,1280,80,0,0
haiku,without,haiku-without-4,33,8662,0.2054,170,882,1,0
haiku,without,haiku-without-5,28,5821,0.1566,170,882,1,0
sonnet,with,sonnet-with-1,6,890,0.1794,170,882,1,1
sonnet,with,sonnet-with-2,6,756,0.1763,170,782,1,1
sonnet,with,sonnet-with-3,7,1018,0.1891,170,882,1,1
sonnet,with,sonnet-with-4,6,1081,0.1820,170,782,1,1
sonnet,with,sonnet-with-5,7,953,0.1878,170,882,1,1
sonnet,without,sonnet-without-1,23,4624,0.4038,170,882,1,0
sonnet,without,sonnet-without-2,14,3834,0.2970,170,882,1,0
sonnet,without,sonnet-without-3,10,2486,0.2348,170,882,1,0
sonnet,without,sonnet-without-4,13,3942,0.2840,170,782,1,0
sonnet,without,sonnet-without-5,11,2344,0.2459,170,782,1,0
opus,with,opus-with-1,5,899,0.3048,170,882,1,1
opus,with,opus-with-2,5,1038,0.3092,170,882,1,1
opus,with,opus-with-3,5,1283,0.3168,170,782,1,1
opus,with,opus-with-4,5,1097,0.3109,170,882,1,1
opus,with,opus-with-5,5,941,0.3060,170,882,1,1
opus,without,opus-without-1,11,2945,0.4266,170,882,1,0
opus,without,opus-without-2,8,3035,0.4265,170,882,1,0
opus,without,opus-without-3,11,2344,0.3982,170,882,1,0
opus,without,opus-without-4,8,2865,0.3868,170,882,1,0
opus,without,opus-without-5,12,3600,0.4594,170,882,1,0
